É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/05 20:35:48

,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl
2025/4/11,16.1,8,1,13.8,8,5.5,0,8,1,5.1,,8,2.7,8,1,,0,20.2,8,1,18.3,8,13.2,8,1,10.0,8
2025/4/12,15.2,8,1,14.0,8,0,1,8,1,5.1,,8,4.3,8,1,,0,19.0,8,1,18.4,8,12.7,8,1,10.2,8
2025/4/13,13.1,8,1,14.1,8,11.0,0,8,1,5.0,,8,3.3,8,1,,0,14.2,8,1,18.6,8,11.9,8,1,10.4,8
2025/4/14,16.7,8,1,14.3,8,11.5,0,8,1,5.0,,8,4.6,8,1,,0,21.6,8,1,18.7,8,13.2,8,1,10.5,8
2025/4/15,15.5,8,1,14.5,8,3.0,0,8,1,5.0,,8,6.0,8,1,,0,20.2,8,1,18.9,8,11.8,8,1,10.7,8
2025/4/16,15.0,8,1,14.6,8,0,1,8,1,4.9,,8,3.8,8,1,,0,19.7,8,1,19.0,8,9.2,8,1,10.9,8
2025/4/17,18.0,8,1,14.8,8,0,1,8,1,4.9,,8,4.3,8,1,,0,24.7,8,1,19.2,8,11.5,8,1,11.1,8
2025/4/18,19.5,8,1,15.0,8,0,1,8,1,4.8,,8,4.0,8,1,,0,24.3,8,1,19.3,8,15.7,8,1,11.3,8
2025/4/19,20.4,8,1,15.1,8,0,1,8,1,4.8,,8,2.9,8,1,,0,27.2,8,1,19.5,8,16.2,8,1,11.5,8
2025/4/20,19.9,8,1,15.3,8,0,1,8,1,4.7,,8,5.6,8,1,,0,22.3,8,1,19.6,8,17.9,8,1,11.6,8
2025/4/21,18.4,8,1,15.4,8,0,1,8,1,4.6,,8,3.7,8,1,,0,22.8,8,1,19.8,8,15.2,8,1,11.8,8
2025/4/22,18.3,8,1,15.6,8,0,1,8,1,4.6,,8,4.5,8,1,,0,22.8,8,1,19.9,8,14.0,8,1,12.0,8
2025/4/23,17.4,8,1,15.7,8,23.0,0,8,1,4.5,,8,4.1,8,1,,0,19.7,8,1,20.1,8,14.8,8,1,12.1,8
2025/4/24,19.1,8,1,15.9,8,0.0,0,8,1,4.4,,8,2.4,8,1,,0,23.6,8,1,20.2,8,16.8,8,1,12.3,8
2025/4/25,19.0,8,1,16.0,8,0.0,0,8,1,4.3,,8,2.4,8,1,,0,21.9,8,1,20.4,8,16.9,8,1,12.5,8
2025/4/26,15.6,8,1,16.2,8,0.0,0,8,1,4.2,,8,3.0,8,1,,0,18.5,8,1,20.6,8,12.9,8,1,12.6,8
2025/4/27,17.7,8,1,16.4,8,0,1,8,1,4.2,,8,4.2,8,1,,0,22.5,8,1,20.8,8,11.1,8,1,12.8,8
2025/4/28,17.7,8,1,16.6,8,25.5,0,8,1,4.1,,8,3.9,8,1,,0,21.8,8,1,20.9,8,13.2,8,1,13.0,8
2025/4/29,17.0,8,1,16.8,8,1.5,0,8,1,4.0,,8,3.3,8,1,,0,22.2,8,1,21.1,8,12.8,8,1,13.2,8
2025/4/30,17.2,8,1,16.9,8,0,1,8,1,4.0,,8,3.3,8,1,,0,23.2,8,1,21.3,8,11.5,8,1,13.4,8
2025/5/1,18.1,8,1,17.1,8,0,1,8,1,4.0,,8,3.9,8,1,,0,22.7,8,1,21.5,8,13.7,8,1,13.5,8
2025/5/2,16.5,8,1,17.3,8,62.0,0,8,1,4.0,,8,4.0,8,1,,0,18.9,8,1,21.6,8,14.3,8,1,13.7,8
2025/5/3,17.8,8,1,17.4,8,0,1,8,1,4.0,,8,3.3,8,1,,0,23.6,8,1,21.8,8,13.2,8,1,13.9,8
2025/5/4,20.2,8,1,17.6,8,0,1,8,1,4.1,,8,4.0,8,1,,0,26.3,8,1,21.9,8,14.9,8,1,14.0,8
2025/5/5,18.2,8,1,17.7,8,0,1,8,1,4.1,,8,3.5,8,1,,0,22.8,8,1,22.0,8,14.2,8,1,14.2,8
2025/5/6,14.9,8,1,17.8,8,25.5,0,8,1,4.2,,8,3.7,8,1,,0,18.0,8,1,22.1,8,13.1,8,1,14.3,8
2025/5/7,18.3,8,1,17.9,8,1.5,0,8,1,4.3,,8,3.7,8,1,,0,24.1,8,1,22.2,8,13.1,8,1,14.4,8
2025/5/8,18.2,8,1,18.0,8,0,1,8,1,4.4,,8,3.1,8,1,,0,22.1,8,1,22.2,8,15.4,8,1,14.5,8
2025/5/9,18.5,8,1,18.0,8,0.5,0,8,1,4.5,,8,3.2,8,1,,0,22.2,8,1,22.3,8,15.7,8,1,14.6,8
2025/5/10,19.9,8,1,18.1,8,9.5,0,8,1,4.6,,8,4.7,8,1,,0,22.6,8,1,22.3,8,16.5,8,1,14.7,8
2025/5/11,20.8,8,1,18.2,8,0.5,0,8,1,4.7,,8,2.9,8,1,,0,24.9,8,1,22.4,8,17.2,8,1,14.8,8
2025/5/12,17.6,8,1,18.3,8,5.5,0,8,1,4.7,,8,2.7,8,1,,0,20.4,8,1,22.5,8,15.9,8,1,14.9,8
2025/5/13,19.7,8,1,18.4,8,0,1,8,1,4.8,,8,2.7,8,1,,0,25.0,8,1,22.6,8,16.4,8,1,15.0,8
2025/5/14,20.2,8,1,18.5,8,0,1,8,1,4.9,,8,2.3,8,1,,0,25.6,8,1,22.7,8,16.7,8,1,15.1,8
2025/5/15,20.6,8,1,18.6,8,0,1,8,1,4.9,,8,2.7,8,1,,0,25.8,8,1,22.8,8,16.7,8,1,15.3,8
2025/5/16,21.0,5,1,18.7,8,0,1,5,1,5.0,,8,3.1,8,1,,0,24.7,5,1,22.9,8,18.0,5,1,15.4,8
2025/5/17,21.4,8,1,18.8,8,39.0,0,8,1,5.1,,8,5.9,8,1,,0,23.9,8,1,23.0,8,18.6,8,1,15.5,8
2025/5/18,23.5,8,1,19.0,8,0.0,0,8,1,5.1,,8,5.5,8,1,,0,27.2,8,1,23.2,8,21.3,8,1,15.6,8
2025/5/19,19.8,8,1,19.1,8,0.0,0,8,1,5.2,,8,2.4,8,1,,0,22.4,8,1,23.3,8,17.4,8,1,15.8,8
2025/5/20,23.8,8,1,19.2,8,0,1,5,1,5.3,,8,5.9,8,1,,0,28.1,5,1,23.5,8,17.4,5,1,15.9,8
2025/5/21,24.0,8,1,19.4,8,0,1,8,1,5.3,,8,4.1,5,1,,0,28.3,8,1,23.6,8,20.5,8,1,16.1,8
2025/5/22,22.4,8,1,19.5,8,0.5,0,8,1,5.3,,8,3.4,8,1,,0,26.9,8,1,23.8,8,17.6,8,1,16.2,8
2025/5/23,19.1,8,1,19.6,8,0.0,0,8,1,5.3,,8,3.1,8,1,,0,22.5,8,1,23.9,8,16.8,8,1,16.3,8
2025/5/24,18.1,8,1,19.8,8,6.5,0,8,1,5.3,,8,3.0,8,1,,0,20.8,8,1,24.0,8,15.6,8,1,16.5,8
2025/5/25,18.7,8,1,19.9,8,29.5,0,8,1,5.2,,8,2.5,8,1,,0,23.9,8,1,24.1,8,14.9,8,1,16.6,8
2025/5/26,19.2,8,1,20.0,8,0,1,8,1,5.2,,8,3.7,8,1,,0,21.8,8,1,24.2,8,17.6,8,1,16.7,8
2025/5/27,18.4,8,1,20.1,8,0.0,0,8,1,5.1,,8,2.2,8,1,,0,20.3,8,1,24.3,8,17.0,8,1,16.8,8
2025/5/28,19.6,8,1,20.2,8,0.0,0,8,1,5.0,,8,4.1,8,1,,0,23.8,8,1,24.4,8,16.3,8,1,16.9,8
2025/5/29,19.3,8,1,20.3,8,5.5,0,8,1,4.9,,8,2.1,8,1,,0,23.2,8,1,24.4,8,17.2,8,1,17.0,8
2025/5/30,15.2,8,1,20.3,8,34.0,0,8,1,4.8,,8,6.0,8,1,,0,17.3,8,1,24.5,8,14.1,8,1,17.2,8
2025/5/31,16.1,8,1,20.4,8,5.0,0,8,1,4.8,,8,6.9,8,1,,0,17.5,8,1,24.5,8,14.6,8,1,17.3,8
2025/6/1,18.9,8,1,20.5,8,0.5,0,8,1,4.8,,8,2.4,8,1,,0,24.0,8,1,24.6,8,16.0,8,1,17.4,8
2025/6/2,20.1,8,1,20.6,8,0.0,0,8,1,4.9,,8,2.7,8,1,,0,24.5,8,1,24.6,8,16.2,8,1,17.5,8
2025/6/3,19.0,8,1,20.6,8,31.5,0,8,1,5.0,,8,3.2,8,1,,0,21.3,8,1,24.7,8,17.8,8,1,17.6,8
2025/6/4,22.3,8,1,20.7,8,0.0,0,8,1,5.1,,8,2.2,8,1,,0,27.8,8,1,24.7,8,17.8,8,1,17.7,8
2025/6/5,23.4,8,1,20.8,8,0.0,0,8,1,5.3,,8,3.7,8,1,,0,28.3,8,1,24.7,8,20.3,8,1,17.8,8
2025/6/6,23.2,8,1,20.9,8,0,1,8,1,5.6,,8,4.6,8,1,,0,27.3,8,1,24.7,8,19.3,8,1,17.9,8
2025/6/7,23.5,8,1,20.9,8,0.0,0,8,1,5.8,,8,4.2,8,1,,0,28.2,8,1,24.8,8,20.8,8,1,18.0,8
2025/6/8,22.9,8,1,21.0,8,0.0,0,8,1,6.1,,8,2.4,8,1,,0,26.2,8,1,24.8,8,20.7,8,1,18.1,8
2025/6/9,21.1,8,1,21.1,8,2.0,0,8,1,6.4,,8,2.5,8,1,,0,24.4,8,1,24.8,8,18.6,8,1,18.2,8
2025/6/10,21.0,8,1,21.2,8,9.0,0,8,1,6.7,,8,1.8,8,1,,0,24.1,8,1,24.9,8,18.9,8,1,18.4,8
2025/6/11,22.3,8,1,21.3,8,5.5,0,8,1,6.9,,8,3.2,8,1,,0,25.0,8,1,24.9,8,20.1,8,1,18.5,8
2025/6/12,23.5,8,1,21.4,8,0,1,8,1,7.1,,8,2.2,8,1,,0,27.5,8,1,25.0,8,20.2,8,1,18.6,8
2025/6/13,23.0,8,1,21.5,8,0,1,8,1,7.2,,8,2.8,8,1,,0,26.5,8,1,25.1,8,20.5,8,1,18.7,8
2025/6/14,22.5,8,1,21.6,8,16.0,0,8,1,7.4,,8,4.6,8,1,,0,25.5,8,1,25.2,8,21.3,8,1,18.9,8
2025/6/15,25.9,8,1,21.7,8,11.5,0,8,1,7.5,,8,5.2,8,1,,0,29.9,8,1,25.3,8,23.4,8,1,19.0,8
2025/6/16,26.8,8,1,21.8,8,0,1,8,1,7.5,,8,2.7,8,1,,0,31.1,8,1,25.4,8,23.7,8,1,19.1,8
2025/6/17,28.4,8,1,21.9,8,0.0,0,8,1,7.5,,8,2.6,8,1,,0,34.3,8,1,25.5,8,24.6,8,1,19.3,8
2025/6/18,28.2,8,1,22.0,8,0,1,8,1,7.5,,8,3.0,8,1,,0,32.4,8,1,25.5,8,24.8,8,1,19.4,8
2025/6/19,27.0,8,1,22.1,8,0,1,8,1,7.5,,8,2.6,8,1,,0,32.9,8,1,25.6,8,24.0,8,1,19.5,8
2025/6/20,26.4,8,1,22.2,8,0.0,0,8,1,7.4,,8,2.7,8,1,,0,30.7,8,1,25.8,8,23.8,8,1,19.6,8
2025/6/21,26.3,8,1,22.4,8,0,1,8,1,7.2,,8,4.2,8,1,,0,30.5,8,1,25.9,8,22.9,8,1,19.7,8
2025/6/22,27.1,8,1,22.5,8,0,1,8,1,7.0,,8,7.0,8,1,,0,31.0,8,1,26.0,8,24.1,8,1,19.9,8
2025/6/23,27.1,8,1,22.6,8,0.0,0,8,1,6.9,,8,6.1,8,1,,0,31.2,8,1,26.1,8,25.0,8,1,20.0,8
2025/6/24,26.6,8,1,22.8,8,0.0,0,8,1,6.7,,8,2.6,8,1,,0,28.7,8,1,26.3,8,24.9,8,1,20.2,8
2025/6/25,26.8,8,1,22.9,8,18.5,0,8,1,6.5,,8,2.5,8,1,,0,30.7,8,1,26.5,8,24.7,8,1,20.3,8
2025/6/26,26.9,8,1,23.1,8,8.0,0,8,1,6.3,,8,4.3,8,1,,0,31.1,8,1,26.7,8,23.7,8,1,20.5,8
2025/6/27,27.5,8,1,23.3,8,0,1,8,1,6.2,,8,2.6,8,1,,0,32.2,8,1,26.9,8,23.6,8,1,20.6,8
2025/6/28,28.1,8,1,23.4,8,0,1,8,1,6.1,,8,3.2,8,1,,0,32.5,8,1,27.1,8,24.7,8,1,20.8,8
2025/6/29,27.1,8,1,23.6,8,0,1,8,1,6.1,,8,3.2,8,1,,0,31.4,8,1,27.2,8,23.7,8,1,20.9,8
2025/6/30,27.6,8,1,23.8,8,0,1,8,1,6.2,,8,3.6,8,1,,0,31.9,8,1,27.4,8,24.1,8,1,21.1,8
2025/7/1,27.5,8,1,23.9,8,0.0,0,8,1,6.3,,8,3.4,8,1,,0,32.3,8,1,27.6,8,25.4,8,1,21.3,8
2025/7/2,27.2,8,1,24.1,8,0.0,0,8,1,6.4,,8,2.8,8,1,,0,31.4,8,1,27.8,8,24.8,8,1,21.4,8
2025/7/3,27.9,8,1,24.2,8,0,1,8,1,6.5,,8,4.0,8,1,,0,31.8,8,1,27.9,8,25.6,8,1,21.5,8
2025/7/4,27.9,8,1,24.3,8,0.0,0,8,1,6.6,,8,3.4,8,1,,0,32.9,8,1,28.0,8,25.0,8,1,21.7,8
2025/7/5,28.6,8,1,24.5,8,0.0,0,8,1,6.8,,8,2.2,8,1,,0,33.1,8,1,28.2,8,25.1,8,1,21.8,8
2025/7/6,29.8,8,1,24.6,8,0.0,0,8,1,6.9,,8,2.6,8,1,,0,34.2,8,1,28.3,8,26.8,8,1,21.9,8
2025/7/7,29.6,8,1,24.7,8,0,1,8,1,6.9,,8,2.4,8,1,,0,34.9,8,1,28.4,8,26.8,8,1,22.0,8
2025/7/8,29.7,8,1,24.8,8,0,1,8,1,6.9,,8,2.9,8,1,,0,34.7,8,1,28.5,8,26.8,8,1,22.1,8
2025/7/9,29.4,8,1,24.9,8,0,1,8,1,6.9,,8,4.3,8,1,,0,33.8,8,1,28.6,8,27.3,8,1,22.2,8
2025/7/10,28.6,8,1,25.1,8,16.0,0,8,1,6.9,,8,3.2,8,1,,0,34.4,8,1,28.8,8,23.3,8,1,22.4,8
2025/7/11,23.6,8,1,25.2,8,0.0,0,8,1,6.8,,8,2.5,8,1,,0,25.7,8,1,28.9,8,22.4,8,1,22.5,8
2025/7/12,24.5,8,1,25.3,8,0.0,0,8,1,6.7,,8,2.7,8,1,,0,28.1,8,1,29.0,8,21.5,8,1,22.6,8
2025/7/13,26.8,8,1,25.4,8,0.0,0,8,1,6.6,,8,2.6,8,1,,0,32.1,8,1,29.1,8,23.0,8,1,22.7,8
2025/7/14,26.7,8,1,25.5,8,0.5,0,5,1,6.4,,8,4.6,8,1,,0,29.4,8,1,29.2,8,24.8,8,1,22.8,8
2025/7/15,27.0,8,1,25.6,8,27.0,0,8,1,6.3,,8,6.2,8,1,,0,29.3,8,1,29.3,8,25.3,8,1,22.9,8
2025/7/16,26.5,8,1,25.6,8,5.0,0,8,1,6.1,,8,5.0,8,1,,0,28.6,8,1,29.4,8,24.6,8,1,22.9,8
2025/7/17,27.4,8,1,25.7,8,6.0,0,8,1,5.9,,8,5.1,8,1,,0,30.5,8,1,29.5,8,24.3,8,1,23.0,8
2025/7/18,27.7,8,1,25.8,8,0.0,0,8,1,5.7,,8,4.2,8,1,,0,32.2,8,1,29.6,8,25.2,8,1,23.1,8
2025/7/19,28.2,8,1,25.9,8,0,1,8,1,5.6,,8,4.1,8,1,,0,33.1,8,1,29.7,8,24.8,8,1,23.2,8
2025/7/20,28.6,8,1,26.0,8,0,1,8,1,5.4,,8,4.5,8,1,,0,33.1,8,1,29.7,8,25.7,8,1,23.3,8
2025/7/21,29.2,8,1,26.1,8,0,1,8,1,5.2,,8,3.9,8,1,,0,34.0,8,1,29.9,8,26.5,8,1,23.4,8
2025/7/22,28.9,8,1,26.2,8,0,1,8,1,5.1,,8,3.9,8,1,,0,33.4,8,1,30.0,8,26.5,8,1,23.5,8
2025/7/23,28.9,8,1,26.3,8,0,1,8,1,4.9,,8,3.9,8,1,,0,33.5,8,1,30.1,8,26.2,8,1,23.6,8
2025/7/24,29.3,8,1,26.4,8,0,1,8,1,4.7,,8,3.7,8,1,,0,33.9,8,1,30.2,8,26.1,8,1,23.7,8
2025/7/25,29.7,8,1,26.5,8,0,1,8,1,4.6,,8,4.3,8,1,,0,33.5,8,1,30.4,8,26.7,8,1,23.8,8
2025/7/26,29.7,8,1,26.6,8,0,1,8,1,4.4,,8,4.6,8,1,,0,33.7,8,1,30.5,8,26.9,8,1,23.9,8
2025/7/27,28.9,8,1,26.7,8,0,1,8,1,4.1,,8,4.4,8,1,,0,32.8,8,1,30.7,8,26.7,8,1,24.0,8
2025/7/28,29.1,8,1,26.8,8,0,1,8,1,3.9,,8,3.0,8,1,,0,34.8,8,1,30.8,8,25.6,8,1,24.1,8
2025/7/29,29.5,8,1,26.9,8,0,1,8,1,3.7,,8,2.8,8,1,,0,36.1,8,1,30.9,8,25.2,8,1,24.2,8
2025/7/30,29.5,8,1,27.0,8,0,1,8,1,3.4,,8,3.7,8,1,,0,33.7,8,1,31.0,8,26.3,8,1,24.3,8
2025/7/31,28.4,8,1,27.1,8,0,1,8,1,3.1,,8,3.2,8,1,,0,32.7,8,1,31.1,8,25.7,8,1,24.3,8
2025/8/1,26.9,8,1,27.1,8,8.0,0,8,1,2.9,,8,6.7,8,1,,0,29.6,8,1,31.2,8,24.8,8,1,24.4,8
2025/8/2,29.0,8,1,27.2,8,6.5,0,8,1,2.7,,8,4.8,8,1,,0,34.3,8,1,31.3,8,25.3,8,1,24.5,8
2025/8/3,30.3,8,1,27.3,8,0,1,8,1,2.6,,8,3.2,8,1,,0,35.1,8,1,31.3,8,26.6,8,1,24.5,8
2025/8/4,30.4,8,1,27.3,8,0,1,8,1,2.6,,8,5.7,8,1,,0,34.7,8,1,31.4,8,28.1,8,1,24.5,8
2025/8/5,31.6,8,1,27.4,8,0,1,8,1,2.6,,8,4.9,8,1,,0,36.2,8,1,31.4,8,28.3,8,1,24.6,8
2025/8/6,32.4,8,1,27.4,8,0.0,0,8,1,2.7,,8,2.6,8,1,,0,38.1,8,1,31.4,8,29.2,8,1,24.6,8
2025/8/7,30.4,8,1,27.4,8,0.0,0,8,1,2.9,,8,3.6,8,1,,0,34.5,8,1,31.4,8,28.2,8,1,24.6,8
2025/8/8,30.4,8,1,27.4,8,0,1,8,1,3.1,,8,2.8,8,1,,0,34.5,8,1,31.4,8,27.5,8,1,24.7,8
2025/8/9,28.6,8,1,27.4,8,0,1,8,1,3.4,,8,3.5,8,1,,0,33.0,8,1,31.4,8,26.4,8,1,24.7,8
2025/8/10,27.0,8,1,27.4,8,21.5,0,8,1,3.6,,8,5.3,8,1,,0,28.1,8,1,31.4,8,25.3,8,1,24.7,8
2025/8/11,27.1,8,1,27.4,8,7.5,0,8,1,4.0,,8,6.9,8,1,,0,28.0,8,1,31.4,8,26.3,8,1,24.7,8
2025/8/12,27.9,8,1,27.4,8,0.5,0,8,1,4.3,,8,5.4,8,1,,0,29.7,8,1,31.3,8,26.7,8,1,24.6,8
2025/8/13,27.8,8,1,27.3,8,0,1,8,1,4.5,,8,2.7,8,1,,0,31.3,8,1,31.3,8,25.3,8,1,24.6,8
2025/8/14,27.7,8,1,27.3,8,0,1,8,1,4.8,,8,2.7,8,1,,0,32.5,8,1,31.3,8,25.2,8,1,24.6,8
2025/8/15,28.0,8,1,27.2,8,0,1,8,1,5.0,,8,3.3,8,1,,0,32.4,8,1,31.2,8,25.0,8,1,24.5,8
2025/8/16,28.9,8,1,27.2,8,0,1,8,1,5.2,,8,3.8,8,1,,0,33.0,8,1,31.2,8,26.2,8,1,24.5,8
2025/8/17,29.5,8,1,27.1,8,0,1,8,1,5.5,,8,4.4,8,1,,0,34.0,8,1,31.1,8,27.0,8,1,24.4,8
2025/8/18,30.6,8,1,27.1,8,0,1,8,1,5.6,,8,2.3,8,1,,0,36.7,8,1,31.1,8,26.7,8,1,24.4,8
2025/8/19,29.7,8,1,27.0,8,0,1,8,1,5.8,,8,3.3,8,1,,0,34.6,8,1,31.0,8,26.8,8,1,24.3,8
2025/8/20,29.9,8,1,27.0,8,0.0,0,8,1,5.8,,8,3.5,8,1,,0,35.0,8,1,30.9,8,27.0,8,1,24.2,8
2025/8/21,30.7,8,1,26.9,8,0,1,8,1,5.9,,8,2.5,8,1,,0,37.2,8,1,30.8,8,27.3,8,1,24.2,8
2025/8/22,29.9,8,1,26.8,8,0,1,8,1,6.0,,8,2.5,8,1,,0,34.9,8,1,30.8,8,27.4,8,1,24.1,8
2025/8/23,30.3,8,1,26.7,8,0,1,8,1,6.0,,8,3.1,8,1,,0,35.9,8,1,30.7,8,26.5,8,1,24.0,8
2025/8/24,30.8,8,1,26.7,8,0,1,8,1,6.0,,8,2.7,8,1,,0,36.5,8,1,30.6,8,27.2,8,1,23.9,8
2025/8/25,30.4,8,1,26.6,8,0,1,8,1,5.9,,8,2.7,8,1,,0,35.4,8,1,30.5,8,27.6,8,1,23.8,8
2025/8/26,29.7,8,1,26.5,8,0.0,0,8,1,5.8,,8,3.8,8,1,,0,34.7,8,1,30.4,8,26.8,8,1,23.8,8
2025/8/27,30.2,8,1,26.4,8,0,1,8,1,5.8,,8,4.6,8,1,,0,34.4,8,1,30.3,8,27.5,8,1,23.7,8
2025/8/28,29.1,8,1,26.3,8,0,1,8,1,5.8,,8,3.0,8,1,,0,33.2,8,1,30.2,8,26.0,8,1,23.6,8
2025/8/29,28.7,8,1,26.3,8,0,1,8,1,5.8,,8,2.7,8,1,,0,34.4,8,1,30.1,8,25.3,8,1,23.5,8
2025/8/30,30.6,8,1,26.2,8,0,1,8,1,5.8,,8,2.7,8,1,,0,36.5,8,1,30.0,8,27.3,8,1,23.4,8
2025/8/31,30.4,8,1,26.1,8,0,1,8,1,5.9,,8,2.5,8,1,,0,36.4,8,1,29.9,8,27.4,8,1,23.4,8
2025/9/1,30.1,8,1,26.0,8,0,1,8,1,6.1,,8,4.3,8,1,,0,35.6,8,1,29.8,8,27.2,8,1,23.3,8
2025/9/2,30.4,8,1,25.9,8,0.0,0,8,1,6.3,,8,5.7,8,1,,0,34.9,8,1,29.7,8,27.6,8,1,23.2,8
2025/9/3,30.2,8,1,25.8,8,0,1,8,1,6.6,,8,3.7,8,1,,0,35.2,8,1,29.6,8,27.8,8,1,23.1,8
2025/9/4,26.8,8,1,25.7,8,5.0,0,8,1,6.9,,8,2.3,8,1,,0,28.5,8,1,29.5,8,25.6,8,1,23.0,8
2025/9/5,24.9,8,1,25.6,8,159.5,0,8,1,7.2,,8,3.6,8,1,,0,26.2,8,1,29.4,8,23.8,8,1,22.9,8
2025/9/6,26.8,8,1,25.5,8,0,1,8,1,7.4,,8,2.8,8,1,,0,32.1,8,1,29.2,8,23.8,8,1,22.8,8
2025/9/7,27.6,8,1,25.4,8,0,1,8,1,7.7,,8,3.5,8,1,,0,31.5,8,1,29.1,8,24.5,8,1,22.7,8
2025/9/8,29.2,8,1,25.2,8,0,1,8,1,7.9,,8,1.9,8,1,,0,34.6,8,1,28.9,8,25.4,8,1,22.6,8
2025/9/9,29.3,8,1,25.1,8,0.0,0,8,1,8.0,,8,2.7,8,1,,0,33.3,8,1,28.8,8,26.9,8,1,22.4,8
2025/9/10,29.4,8,1,24.9,8,0,1,8,1,8.1,,8,3.9,8,1,,0,33.6,8,1,28.6,8,26.8,8,1,22.3,8
2025/9/11,27.2,8,1,24.8,8,143.0,0,8,1,8.3,,8,3.4,8,1,,0,33.2,8,1,28.4,8,21.9,8,1,22.1,8
2025/9/12,25.4,8,1,24.6,8,10.0,0,8,1,8.4,,8,2.4,8,1,,0,29.0,8,1,28.1,8,23.4,8,1,21.9,8
2025/9/13,26.0,8,1,24.4,8,3.0,0,8,1,8.5,,8,3.7,8,1,,0,28.4,8,1,27.9,8,23.3,8,1,21.7,8
2025/9/14,29.2,8,1,24.2,8,0.0,0,8,1,8.6,,8,3.9,8,1,,0,32.9,8,1,27.7,8,26.9,8,1,21.5,8
2025/9/15,27.6,8,1,24.0,8,0.0,0,8,1,8.8,,8,1.9,8,1,,0,29.3,8,1,27.5,8,26.2,8,1,21.3,8
2025/9/16,28.5,8,1,23.7,8,0.0,0,8,1,8.9,,8,2.6,8,1,,0,33.0,8,1,27.2,8,26.4,8,1,21.1,8
